,Tag,count
28052,not masculine,10
11112,angstwave,10
24213,lgbt,10
31588,rio grande do sul,10
6881,Omaha,10
545,90s Rnb,10
19654,girl punk,10
25756,merken,10
38544,you need to hear this,10
12219,beard,10
38769,zmiel pierogi,10
3360,Female jazz vocalists,10
26682,music to chase squirrels by,10
29695,polish folk,10
9572,Uruguay Argentina mia,10
29783,polska alternatywa,10
29786,polska muza tez miazdzyc potrafi,10
4298,Hultsfred 08,10
28342,offener Brief an Angela Merkel,10
22372,j-indies,10
17614,ex-yu rock,10
26840,must see live,10
16550,dreamgaze,10
14674,coachella 2008,10
7258,Polish pop,10
13980,cbc radio 3,10
13021,bonnaroo,10
10675,alt folk,10
29184,people who have no talent,10
37175,us-singer,10
27084,na koncercie bylem pilem i dobrze sie bawilem,10
30090,post grunge folk,10
38,00s pop,10
429,60s revival,10
34834,superb,10
16592,drive-thru records,9
27246,need to listen,9
36232,to-listen,9
12334,been there,9
33456,skins,9
38031,wieder auskramen,9
36196,to download,9
27131,najsurowszy norweski black metal prosto z glebin norweskich lasow osikany moczem renifera,9
34080,soundtrack composers,9
15806,deathrock revival,9
5784,MPMF11,9
13260,brazucas,9
35300,tasty boys,9
6449,NC 25,9
6450,NC 50,9
13687,cameltoe,9
27521,new stuff I like,9
953,American popular music,9
34970,swedish male singers,9
27580,new2me,9
34774,suomalainen,9
34737,summer sundae 2008,9
14388,christian acoustic,9
12753,bisexual,9
34137,southside 2013,9
27867,noisetrade,9
15069,country women,9
15174,crimes against humanity,9
12032,bands i want to see live,9
13235,brazilian indie,9
30593,psycho-folk,9
38230,workjams,9
29731,polish punk rock,9
23116,k-rnb,9
22290,italian songwriters,9
37061,unglaublich,9
20466,hab ich schon live gesehen,9
6994,PE 75,9
30594,psycho-pop,9
29002,party indie,9
22366,j-goth,9
30592,psycho rap,9
37600,vou ouvir,9
29877,pop en espanol,9
29918,pop rock brasil,9
29939,pop zangeressen,9
22397,j-rock on spotify,9
30351,prikosnovenie,9
20954,hijosputa,9
21023,hip-pop,9
10590,all girl band,9
8522,Southside 2007,9
21344,hurricane 07,9
19687,girls band,9
31260,recommended by rwitte,9
8890,Tantalised me in real time,9
32278,samba rock,9
11770,awesome voice,9
36590,triple j unearthed,9
28336,off festival 2012,9
32711,seen live X4,9
32705,seen live 3x,9
17676,experimental noise-rock,9
32481,scat porngrind,9
32480,scat goregrind,9
38788,zone acoustic,9
32338,sandy,9
38335,wwa,9
18173,female rappers,9
26994,my love,9
23481,klasyka,9
36866,ucb uk,9
3067,Emily Osment,9
31403,remember this,9
501,80s goth,9
25179,male feet,8
3220,FLOP,8
13133,boygroup,8
37230,vagina Possession,8
26372,morr music,8
27470,new folk,8
10295,across the universe,8
25138,makes me wanna dance,8
12021,bands and artists to check out,8
12841,blah,8
26068,miranda cosgrove,8
11506,asfalt,8
24972,lyrical genius,8
12499,best musicals,8
730,Addicted,8
11027,and they rode on in the friscalating dusklight,8
12503,best of 2007,8
10915,american pop,8
25240,man,8
11797,ays,8
10757,alternative rnb,8
26873,muzyka grozaca kalectwem umyslowym,8
12561,best women singers,8
37151,urban pop,8
6543,Naturalismo,8
6514,Nana,8
21958,indie-pop radio,8
24337,linda,8
13258,brazuca,8
19590,gezellige gitaar-pop,8
20318,grrrl,8
28849,pacific northwest,8
30950,radio disney,8
19991,gossip girl,8
23228,katy perry,8
4818,Jazz Divas,8
28726,os,8
23091,k records,8
19511,geotagged,8
19387,gay pop,8
10063,a campfire and a tent and a flashlight and some matches and a tree and that river and my glasses and a spaceship and a really really big bear but the bear is really really far away,8
31742,rock franÃ§ais,8
31761,rock latinoamericano,8
1771,Brill Building Pop,8
30746,pure,8
29019,paskaa,8
13350,british indie,8
21345,hurricane 08,8
2351,Country-Pop,8
22032,industrial pop,8
21787,independente,8
29697,polish funk,8
29889,pop independiente,8
4346,I am canadian,8
21288,howie d,8
22795,jmetal,8
29231,pernambuco,8
4412,I was never a Swedish teenager with swedish teen angst so now I will attempt at having it,8
29132,pedobear does approve,8
22741,jesus fucking christ,8
30470,prosto,8
20714,hazy beach,8
23574,kool girl disko,8
23673,krock,8
5255,Koteosa Kei,8
24671,los angeles CA,8
15062,country music,8
34136,southside 2011,8
1145,Asfalt Records,8
1134,Artists I like,8
14523,city: los angeles,8
34397,states,8
3551,French Music,8
3818,Glastonbury 2007,8
34779,suomi finland,8
24908,ludzie rzygam,8
35068,sxsw2011,8
3498,Foreign,8
13466,bso,8
13399,brooding,8
21892,indie mexico,8
33727,so good,8
15997,deutsch pop,8
16001,deutsche texte,8
1366,Balearic Beat,8
16338,dobry pop,8
16343,dockville 2009,8
33357,single pop,8
28078,not seen live yet,8
33172,show tunes,8
28107,nothing but hope and passion,8
16793,earnest,8
24105,lemon zest,8
5461,Lemonade,8
16997,electro-indie,8
3761,German Pop,8
23851,lalamusic,8
31682,rock alternative,8
5341,LT,8
8234,Serbian Rock,8
38269,worship songs,8
8789,SÃ£o Paulo,8
9734,Waglewscy,8
8666,Sub Pop Records,8
38593,youtuber,8
38823,zup,8
37653,waiting to check out,8
38111,wish list,8
37931,whatwedoissecret,8
26212,modern folk,7
3189,Experimental-Ambient,7
5862,Male Artist,7
11510,ashley tisdale,7
1842,Buffy,7
18993,from: germany,7
18884,french cold wave,7
13726,canadian female singer-songwriter,7
3251,Fabulous,7
31720,rock chick,7
31735,rock en castellano,7
33782,soft music,7
3001,Electro Folk,7
11757,awesome live,7
1780,British Columbia,7
33748,so zorry,7
28960,para vestidas,7
24247,lietuviai,7
11806,azns,7
18685,folktronic,7
11851,bacharach,7
38795,zone minimal,7
25857,mexicana,7
38616,ysabols show tunes and musicals,7
31847,rockabilly women,7
31868,rockin women,7
31874,rocklady,7
31876,rockmex,7
24434,lithuanian rock,7
20549,happiness and sunshine and love,7
11473,artrocker,7
6860,Old Blues,7
36894,uk indie,7
20044,gothic lolita,7
20033,gothic electro,7
20010,goth pop,7
1200,Aussie Rock,7
11155,anna,7
2753,Discopunk,7
31198,reality tv,7
11264,apocalipse,7
30832,que bonito tu,7
31251,recomendo,7
31254,recommendations,7
10963,amusing,7
582,:heart:,7
11286,approved by ulrich schulz,7
36754,tutto maiuscolo,7
7473,Pure Fucking True Norwegian Nazi Apokalyptic Ocultistic Black Like Satans Ass Metal From Land Of The Vikings,7
975,An Danzza,7
20506,halifax,7
7443,Pukkelpop 2006,7
19533,german gothic,7
19531,german girls,7
22617,jazz ladies,7
7556,RIYL,7
5868,Male voices,7
9545,Under Code Production,7
37694,want to check out,7
215,2000's,7
12036,bands seen,7
17239,emotronica,7
25499,mbweighnt,7
17554,eurovision winner,7
16159,dirty rap,7
17522,euro-pop,7
5658,Loved Artist,7
12723,bilingual,7
16228,disney pop,7
6511,Nam,7
32771,seen live x6,7
33385,sitcom,7
17356,eroguro,7
1376,Band I want to hear more of,7
25358,marry me,7
12933,blues punk,7
17232,emotional rock,7
8213,Seen Live in Concert,7
17212,emo-rock,7
6351,Musical Comedy,7
13332,british accent,7
5452,Left of Center,7
32922,sex music,7
25256,manguebeat,7
13129,boybands with lickable members,7
28349,officialy shit,7
23822,lady parts,7
13255,brazillian,7
33102,shit only a fag would listen to,7
3417,Finnish music,7
33103,shit only a retard would listen to,7
23893,lasommadidue,7
16074,diddy,7
3709,Gay Icon,7
7962,Ruisrock 2007,7
33608,sm entertainment,7
25782,met in person,7
12059,bandsseenlive,7
31948,romanticas,7
23113,k-pop ruined my life,7
9996,Yugoslavia,7
12205,beach pop,7
12206,beach punk,7
5129,Kate,7
33636,smelly feet,7
32115,russian indie,7
18124,female fronted hardcore and punk and alternative and noise rock,7
25612,melancholic metal,7
3909,Gowno,7
35126,synthgoth,7
25108,major,7
8937,Ten out of Tenn,7
17992,favourite artist,7
17984,favorito,7
23469,kksi,7
15870,delicious,7
6582,NeoPsychedelia,7
33577,sltb,7
25539,med kardemumma och kanel,7
17874,fantasy folk,7
5254,Kotekote Kei,7
27101,nacionais,7
32580,scrubs,7
9330,Top Artist 2012,7
27108,nagoya,7
28596,one-song band,7
20573,har sett live,7
4946,Johnnys entertainment,7
1416,Barock94 selection,7
21448,i heart,7
10725,alternative christian,7
10353,adoro,7
34200,spanish pop-rock,7
21846,indie disco,7
14878,conhecendo,7
3128,Essex,7
29521,plan-it-x,7
34789,suomirokki,7
21977,indielectro,7
21498,i love this,7
21773,incredibly awesome,7
21505,i love you,7
14412,christian post-hardcore,7
20781,heavenly voice,7
6988,PC 25,7
7514,Quentin Tarantino,7
20751,heartbreak,7
34568,stuff I like,7
21630,idol group,7
20733,heard live,7
9488,UK Pop,7
14866,concerts i have been to,7
37576,voix,7
21377,hype,7
6021,Mellow Babes,7
8523,Southside 2012,7
7726,Rent,7
10509,alaska,7
3155,Eurosonic 2012,7
14714,cojonudos a mas no poder,7
21219,horrorbilly,7
21265,hottie,7
21269,house md,7
10548,alexenthean,7
14769,colorful,7
34279,spiritual fodder,7
21136,holy sweet heavenly jesus good,7
30239,poznan,7
1127,Artister som ska checkas upp,7
2173,Christian women,7
5999,Mehr davon,7
24872,ls,7
2247,Coachella 2011,7
14390,christian alternative,7
34786,suomihoppi,7
34489,stories under nails,7
20692,have to sing along,7
341,3miasto,7
14309,chillax,7
26294,monolith festival,7
37465,virgin metal,7
9485,UK Goths,7
21737,in love,7
26613,music for jesus,7
30530,psicodelia,7
37716,warped 08,6
28081,not so distant sounds,6
8238,Sertanejo Universitario,6
34318,spring,6
27031,my stuff,6
28759,oth,6
32208,sad songs,6
14270,childish,6
6634,New York Punk,6
33609,sm town,6
23169,kantou,6
38409,xoza,6
29706,polish indie,6
36206,to listen later,6
6024,Mellow Rock,6
29936,pop underground,6
2705,Devil Doll,6
27055,myki,6
23363,kielce,6
12363,bel canto,6
28653,optivion,6
35139,sz,6
28334,off festival,6
38006,whorecore,6
32398,satan and hell,6
5227,Klavier,6
25555,medieval metal,6
35115,synth-gothic,6
16345,dockville 2012,6
33625,smarttoons,6
6666,Nick,6
16539,dream rock,6
27318,neo-batcave,6
23096,k-dance,6
25778,mestizaje,6
2077,ChemicalOkashi seen live,6
25021,madame b,6
37255,vampire,6
2890,Dutch bands,6
18401,finnish poprock,6
13634,cadmium candy,6
3772,Get To Know,6
16589,drive a mack truck in yo ass,6
33178,showtune,6
1294,BJM fans,6
18235,feminine,6
18298,fictional,6
25245,mandarin,6
12207,beach rock,6
28804,over and done with,6
4381,I love this song,6
9155,The Vampire Diaries,6
27448,new bras,6
8282,Shit Hot,6
3420,Finnish rap,6
21275,housework,6
5545,List2,6
18244,femme,6
17923,fav artists,6
7407,Progressive emopop,6
16762,e-pop,6
26657,music id like to fall asleep to,6
1568,Big Day Out,6
35710,the hotel cafe,6
13480,bubblegum punk,6
34600,stuttgart,6
6081,Mexico City,6
27260,needmorefromthisartist,6
17046,electronic indie,6
13320,bringing sexy back,6
33343,singing actors,6
6453,NDH,6
13447,brutal necrocanibalistic grindcore with certain influences of father rydzyk,6
24787,love them,6
17455,ethnic ethereal,6
28177,nsync,6
32760,seen live twice or more,6
13419,brroadway,6
32770,seen live x5,6
34571,stuff I still want to discover,6
14392,christian artists,6
5364,Labrador,6
25417,mastered by bjorn,6
13394,broken up,6
23976,latitude 2007,6
33382,sisters,6
25391,mas de una vez,6
17200,emo pop,6
5626,Lost Radio Outpost,6
13041,bookmarked,6
21776,incubate 2011,6
25319,maricones,6
32712,seen live again,6
14454,chujnia,6
23698,kto tu robi UnderGround,6
23741,kuuntele,6
13148,boysband,6
21748,in spanish,6
8458,Sommer,6
21688,ilosaarirock 2006,6
33300,sing along,6
2949,Eccentric,6
24146,les mis,6
1394,Bands beginning with THE,6
16971,electro goth,6
7677,Recommendations and such,6
5244,Konzerte Hamburg,6
12506,best of 2010,6
27399,neu entdeckt,6
6048,Merge,6
29899,pop nacional,6
4227,Hipster-Hop,6
3429,Fisz,6
36021,this is to remind you,6
28601,ones i just found,6
10317,acustic,6
32657,seen as support band,6
34316,spreadsheet,6
17709,extraordinary,6
37396,victoria,6
3532,Frauenstimmen,6
7786,Riot Girl,6
34629,subpop,6
9064,The L Word,6
37528,vocal feminino,6
30059,positive punk,6
4156,Heidin,6
7233,Playlist,6
20760,heartland rock,6
7462,Punk77,6
34790,suomirokkia,6
29511,placecore,6
30410,prog-rnb,6
11273,appalachian,6
34196,spanish indie rock,6
10770,alternative-country,6
24461,live 2009,6
31234,rec,6
19707,girlsband,6
20754,heartbreaker,6
26138,mittelalter rock,6
4768,Japanese Artists,6
19774,glitter,6
4061,Hairspray,6
1926,California deathrock,6
19674,girlgroups,6
19669,girl-boy duo,6
29188,people whose mothers i wish had health plans which included abortion,6
24989,m-flo,6
24448,little onion,6
20880,herz,6
9937,YE,6
33897,song-writer,6
15266,cube,6
8757,Swedish Music,6
11449,artists i love,6
34944,swede,6
13761,cancon,6
15267,cube entertainment,6
26364,morning noon night,6
24460,live 2008,6
1962,Canadiana,6
11469,artists: australian,6
6940,Original Score,6
30508,przez to wstydze sie polski,6
14919,contemporary worship,6
30526,pseudo rock,6
20301,gross,6
34133,southside 2008,6
29375,piano-driven,6
37880,westlife,6
22420,jaana,6
20656,has many mis-named tracks,6
20536,hannah montana,6
26743,musica nostalgica,6
2070,Check out sometimes,6
30544,psych-pop,6
34817,super mario hates this crap and wants to shit all over it,6
20210,great vocalist,6
20194,great polish music,6
20157,grease,6
30921,r-n-b,6
34079,soundtrack composer,6
30940,rad-o-rama,6
8027,SMTOWN,6
20069,gothindalt metal,6
11081,angel voice,6
34882,surfgaze,6
11102,angry girl music,6
4698,JKRavensfield,6
2437,DARK DARK,6
29292,pfabtrax,6
7746,Retro Swing,6
4520,Indie Brazuca,6
5909,Marisa Monte,6
2148,Christian Bands,6
11329,argentino,6
34781,suomi metal,6
1863,Buzakara Luvs music,6
29566,pleasing to the eye,6
31812,rock us,6
30245,pozytywne wibracje,6
33767,sodermanland,6
7882,RockPop,6
2174,Christina Aguilera,6
25878,mhmm,6
37218,v-rock,6
11719,avex trax,6
11717,avex,6
18793,fpa,6
36500,transmitnow,6
15503,dance party,6
31754,rock im park 2012,6
30182,post-weekly top,6
15602,dark circus,6
1137,Artists for quiet evenings,6
31877,rockmusik,6
36333,top 40,6
21173,homophobic,6
5064,K-hip hop,6
18610,folk indie,6
27468,new flamenco,6
1750,Brazilian popular music,6
30143,post-internet,6
25851,mexican pop,6
11936,balkan rock,6
31854,rocker,6
26689,music to fall asleep to,6
18657,folk-soul,6
1767,Bridgit Mendler,6
34297,spokojne,6
27974,norwegian pop,6
35024,sweetest female voices,6
7020,PS08,6
13739,canadian singer songwriter,6
18830,franny,6
22723,jersey,6
29551,playlist4,6
33841,some gangsta shit of catastrophic proportion,6
18814,francophonic,6
5867,Male Singers,6
15427,da da dammmm dammm dammmm,6
18961,fritz,6
20993,hip hop soul,6
24652,lookup,5
21744,in que,5
14998,cornerstone,5
23932,latin american,5
3760,German Neofolk,5
14285,chilenos,5
24577,lodz,5
14626,clickopera,5
23954,latin reggae,5
24806,loved artists,5
9215,Theater,5
16372,domacica,5
16003,deutscher Gitarrenpop,5
16371,domaci rock,5
27866,noisepop,5
15301,cunt,5
16418,doom folk,5
27781,nme new bands,5
15638,dark romantic,5
14601,classy,5
28048,not listened to yet,5
33872,sometimes its not about music but about fuckable singer,5
33668,smooth pop rock,5
38629,yugoslavian,5
34400,stay,5
28266,o matko znajdz mi to,5
23900,last fm various,5
2703,Deutschsprachiges,5
2696,Deutsches Untergrundpsychozeug,5
27779,nme,5
28076,not scrobbling,5
5594,Lollapalooza 2008,5
34019,soul pop,5
33692,snag this,5
5873,Mam talent,5
34401,stay put,5
24803,love-sickness emergency-care-kitt,5
23955,latin ska,5
15157,create new tag,5
5756,MELODIC GOTHIC METAL,5
3717,Geeky,5
33964,sony music japan,5
24077,leggera,5
5639,Lounge Love,5
16150,dirty dancing,5
14453,chuje,5
15198,cro,5
28184,nu folk,5
14706,coffeehouse,5
24716,loud and messy,5
27914,nordic music,5
14688,cockney,5
33606,sm,5
15471,damned good,5
6042,Meow,5
38027,widziane live,5
8037,SORRISO MAROTO,5
34315,spraydioter,5
7326,Portland bands,5
9305,Tokio Hotel,5
15076,country: UK,5
14914,contemporary pop-rock,5
24494,livelivelive,5
24091,leiwand - muzyka,5
16368,domace je domace,5
33985,sorchi,5
28002,not at the library,5
1214,Australian Rock,5
15406,czech out,5
14320,chilling,5
27991,nostalgy,5
3735,Genio,5
33485,slam poetry,5
33981,sopranistasa,5
14885,connor shaw,5
5782,MPB - musica popular brasileira,5
26577,music I wanna hug but can not hug because it is music and you can not hug sounds,5
16552,dreaming,5
20199,great singer,5
22392,j-rap,5
20040,gothic industrial,5
20043,gothic kircore,5
31011,rainy day music,5
38258,worlds best voices,5
20061,gothic-doom metal,5
7467,Punky Reggae,5
30946,radio alextremist,5
22349,j pop,5
20160,great 60s,5
30878,questionmark,5
19948,good voice,5
20241,green man 2007,5
30793,putipop,5
22233,iskelmae,5
30666,punk candy,5
30635,pukkelpop 2008,5
20625,harfang genius,5
22126,intellectual,5
29480,pissisrock,5
22059,ingles,5
2112,Chill-Hop,5
20008,goth metal,5
31123,rated 100,5
1853,Bundesvision Song Contest,5
22631,jazz vocalist,5
29112,peanut butter and jelly sandwiches rule,5
19252,g-eazy,5
31530,rhythm-blues,5
4882,Jiggy,5
19354,gaucho,5
31486,reviewed,5
31466,retro pop,5
8351,SiriusXMU,5
4870,Jesus Channel,5
2474,DO NOT WANT,5
19561,get em,5
22448,jagjaguwar,5
31332,reggae dub,5
7444,Pukkelpop 2010,5
19647,girl music,5
19659,girl singers,5
31262,recommended japanese radio,5
19727,gitarre,5
19877,good Aussie stuff,5
19903,good listening with coffee,5
31146,rawr,5
19907,good lyrics,5
20723,headbangers ball,5
21996,indiewave,5
21984,indiepop - us,5
21812,indie - uk,5
21381,hypercatalecta,5
29914,pop reggae,5
29904,pop princess,5
29890,pop indie,5
21408,i am tagging this artist,5
21411,i am witness,5
21836,indie christian,5
38370,x factor crap,5
29871,pop dance,5
21445,i have so much strength in me you have no idea i have a love in my life it makes me stronger than anything you can imagine,5
29812,polskie podziemie,5
20846,hembra,5
21581,iamalone,5
21613,icon,5
38389,xfactor,5
21644,if this band doesnt get huge i will buy a hat and eat it,5
29688,polish dancehall,5
4270,Horror-Punk,5
29733,polish ragga,5
29692,polish electronic,5
2313,Contemporary pop,5
21736,in english,5
8461,Song Writer,5
21352,hurricane 2012,5
21348,hurricane 2008,5
38342,wyciszenie,5
38307,writing music,5
2147,Christian Alternative Rock,5
21969,indie133,5
29550,playlist2873,5
20948,highschool,5
8547,Spanish language,5
2158,Christian Pop Punk,5
21017,hip-hop soul,5
30272,prawdziwy hip-hop,5
21041,hippies,5
21049,hipster hop,5
2176,Christmas Music,5
30175,post-shoegaze,5
30171,post-revolutionary pop song,5
4205,High School Musical,5
4418,I would rather beat myself to death with a hammer than listen to this,5
21176,homosexual,5
29587,plurals,5
21214,horror pop,5
30005,popy,5
29993,popstars,5
22711,jentzjapan,5
19077,fucking good,5
16579,dresden dolls connection,5
17477,ethnotronica,5
7586,Radio ELS,5
8156,Scandinavian sirens,5
17329,epitaph,5
5374,Ladys,5
32776,seen live09,5
28501,olympia,5
17424,estostiossonbuenosclaroquesi,5
17438,etheral,5
17441,ethereal folk,5
32749,seen live pl,5
17495,eu vi,5
17234,emotions,5
32739,seen live ha-ha-ha,5
32734,seen live four times,5
23598,korean rock,5
32725,seen live by chrischan,5
23580,korea makes rap listenable,5
32698,seen live 2005,5
17562,evangelica,5
28562,one direction,5
17592,evocative,5
17626,exceptional female artists,5
28471,oldfolk,5
5404,Latin Dance,5
18938,frff,5
23806,labrador records,5
1421,Barroco,5
23879,largeheartedboy,5
33173,show worthy,5
16602,drone pop,5
28314,och wow lovely,5
16708,dupla,5
23843,lajf,5
16775,eargasmic,5
28385,oh the sweet swingin sounds of my youth,5
28387,oh yeah,5
3793,Gimbaza,5
17202,emo pop punk,5
16973,electro gothic rock,5
16977,electro latino,5
16990,electro-disco,5
16993,electro-folk,5
3801,Girl Group Sound,5
7386,Primitive Rock n Roll,5
28450,old school gothic rock,5
17099,elektropunk,5
3808,Girls that kick ass,5
17189,emmabodafestivalen 2008,5
8218,Seen live baby,5
23541,kolla upp,5
23533,koeln,5
38491,yg family,5
28850,pacific nw,5
18502,floating through dream space,5
23090,k pop,5
18614,folk inspiration,5
18647,folk-delica,5
23033,juno,5
5036,Just Another Folk Singer,5
1769,Bright Eyes,5
1772,Brilliance,5
22947,jrap,5
5014,July third,5
17785,fairy,5
31786,rock pop chileno,5
31779,rock noir,5
8825,THIS POP-SHIT IS BURNING HOLES IN THE O-ZONE AND KILLING ALL OF THE POOR BABY SEALS,5
18796,fr,5
29024,passing,5
1804,Broken social scene,5
31710,rock boat,5
31706,rock ballads,5
18837,franÃ§aise,5
18845,freak-folk,5
23101,k-hiphop,5
23102,k-indie,5
18397,finnish indie,5
18353,find out more,5
5267,Kristen,5
17872,fantastick and groovical,5
28621,oo,5
8917,Techno Body Music,5
38121,witch,5
32464,scandinavian rock,5
23374,kill bill,5
17947,favorite alternative,5
23345,kid,5
28675,oreja,5
8863,TX,5
23263,keep an eye on,5
8859,TVD,5
18126,female fronted industrial,5
32194,sad and beautiful,5
32191,sacred bones,5
18179,female solo,5
32142,rv 2013,5
32082,rus,5
18285,ff checken,5
18307,fifa,5
14281,chilean rock,5
8092,Samba-Rock,5
13435,brutal black metal,5
13768,candy wife,5
27200,nationalnilpferdbewegung,5
10715,alternativa,5
34966,swedish indie pop,5
6781,Nova Scotia,5
36557,triangle,5
37865,west australian,5
36576,trilha sonora,5
3165,Evanescence,5
10753,alternative pop rock,5
34997,sweet duo,5
10759,alternative rock brazil,5
3063,Emade,5
36591,triplej,5
35057,switzerrock,5
463,70s punk,5
13005,bon iver,5
6982,PABLO G,5
37612,vr,5
466,70s-80s rock,5
27247,need to listen to more,5
26296,monolith festival 2008,5
9609,Vanessa Hudgens,5
25015,mad alice seen live,5
11636,aurgasm,5
13782,cant sing,5
37244,valley of the bees radio,5
25424,matador,5
13987,cds I own,5
250,2011 maybe,5
11886,badass ladies,5
11803,azn band,5
413,60,5
26371,morr,5
13947,catchy as hell,5
10577,all Music,5
6756,NorthernScene,5
13908,cash money,5
35969,things i will never listen to,5
24962,lxmostlovedones,5
10596,all kinds of rock,5
3359,Female fronted symphonic metal,5
34915,svensk pop,5
36476,trance metal,5
10616,all-female band,5
10620,all-girl indie,5
25892,mia,5
7019,PS Company,5
12736,binnenkort in Mezz,5
3366,Female-fronted Metal,5
11658,australian music,5
27465,new favorites,5
35767,the new thing,5
6454,NDT,5
35092,symphonic pop,5
35251,tamla,5
9848,Wings,5
7754,Reykjavik,5
9573,Usher,5
35531,thank you lastfm,5
11308,arcane,5
11052,andrew lloyd webber,5
13186,brasil es robertitus,5
11085,angelia2041,5
3025,Electrotrash,5
25196,male solo,5
13370,britsh,5
25197,male solo artist,5
25204,male voices i can listen to,5
6402,My collection,5
25216,males,5
35498,test solala,5
7266,Polska muzyka,5
9589,VIDA ELECTRICA,5
11139,anime sountrack,5
13243,brazilian punk,5
11176,annoying,5
26151,mixt,5
36919,ukrainian rock,5
25181,male folk,5
13481,bubblegum records,5
10924,american trad rock,5
3235,FRUNI,5
36629,tropicÃ¡lia,5
35108,synth goth,5
26251,moja polska muzyka,5
13617,cabaret noir,5
10894,american folk,5
13613,caa,5
25280,manu,5
37011,under code,5
10908,american indie,5
38809,zryj kielbaski czopie,5
27384,nerdfighters,5
11459,artists or bands i have interviewed,5
36665,trueschool,5
911,Alternative-Indie Rock,5
36682,trzy akordy darcie mordy,5
25249,mandopop,5
13138,boys,5
25176,male and female vocals,5
13526,bundesvision,5
35191,tagged,5
6419,My mouth tastes like wood and dirt,5
26953,my finnish favourites,5
37166,uruguayan,5
27330,neo-medieval,5
34749,summertime,5
36002,this is good for your health,5
34791,suomiylpeys,5
37316,velvet folk,5
25561,mediterranean rock,5
25691,melodyjne,5
36299,tons de amarelo,5
6667,Nick Carter,5
3533,Freak Pop,5
10354,adoro isso,5
10349,adore,5
37548,vocalista femenina,5
10330,addicted2,5
26520,multi culti world,5
36201,to investigate,5
9985,Younger generation,5
10413,after school,5
10302,activist,5
37409,vidija lajv,5
14076,chanteurs,5
12228,beast,5
9511,USA: oregon,5
14085,chapel hill,5
6170,Misfits,5
37529,vocal god,5
24863,lowlands 2007,5
37274,van risseghem,5
10278,acoustic soul,5
14153,checked,5
37414,vidla na stejdzu,5
37722,warsaw,5
24874,lstn,5
36267,tolistento,5
27095,nachdenklich,5
14004,cello rock,5
